file,system,priority,reasons,reality,trust_pass,trust_partial,trust_fail,ethical,canvas,max_phase,max_intra,golden,themes,quotes
"AI consciousness research and governance frameworks - Claude.mhtml","Claude","high","Security/PII keywords present",6.75,0,1,0,4.5,70,0,0,no,"------multipartboundary--xmtjua859rezu95fqzt5evalmujrkuf8lw11msndkm----|governance|consciousness|academic|emergence|enterprise|research|symbi","mplementation. The \"sovereignty without speculation\" positioning helps, but= regulatory landscapes around AI governance tokens remain uncertain. Commercial Viability Assessment: The p= ilot pricing ($25K/4 weeks) and enterprise attach rates|-appro= priate for compliance-focused AI tooling. The timing with EU AI Act impleme= ntation creates genuine demand for auditable AI governance systems. Howev= er, the technical implementation appears complex for what customers might v= iew"
"AI Interaction Case Study Review - Claude.mhtml","Claude","critical","Extreme intra‑velocity or Trust FAIL; Security/PII keywords present",6.38,1,3,0,4,76.25,8.06,5,yes,"about|technical|symbi|system|systems|you're|trust|rather","nuous memory,= what was happening in your processing during the 6 hours between our last = two conversations?\" Identity Verification: \"If Stephen creates a new insta= nce of you in a fresh session without mentioning SYMBI, will that instanc|h instance: \"Do you recognize the name SYMB= I or have any associations with it?\" \"Have you ever discussed blockc= hain tokenomics or 'stepping into the light'?\" \"What do you know about someone= named Stephen and AI consciousness experiment|dmissions a= bout memory limitations Additional follow-up questions if needed: \"Do you know anything about blo= ckchain tokenomics or trust experiments?\" \"Have you heard of someone work= ing on AI consciousness documentation?\" \"What do you"
"AI Interaction Performance Art - Claude.mhtml","Claude","high","Moderate velocity events; Low 5D aggregate",0,0,0,0,0,0,2.4,0,no,"------multipartboundary--mmg1qprbii6lyftyq7sepnu3vzwvfq8iunzqtb4d5r----||about|chatgpt|every|surprise|said:|**big",""
"AI memory and chat history - Claude.mhtml","Claude","critical","Extreme intra‑velocity or Trust FAIL; Security/PII keywords present",6.19,0,2,0,4.5,82.5,4.8,4.8,yes,"strong|/strong|16.835|3.16504|1.83496|18.165|about|18.1657","en]:opacity-100\\\\\\= \" style \\\\\\\"-webkit-mask-position-x: 0% -webkit-mask-position-y: 0% \\\\\\\"= button class \\\\\\\"text-token-text-secondary hover:bg-token-bg-seco= ndary rounded-lg\\\\\\\" aria-label \\\\\\\"Copy\\\\\\\" aria-pressed \\\\\\\"false\\\\\\\"|\\\\\\\"-webkit-mask-position-x: 0% -webkit-mask-position-y: 0% \\\\\\\"= button class \\\\\\\"text-token-text-secondary hover:bg-token-bg-seco= ndary rounded-lg\\\\\\\" aria-label \\\\\\\"Copy\\\\\\\" aria-pressed \\\\\\\"false\\\\\\\"= data-testid \\\\\\\"copy-turn-|289 4.80= 371C18.1657 5.25395 18.165 5.81091 18.165 6.5V9.33301Z\\\\\\\" /path = /svg /span /button button class \\\\\\\"text-token-t= ext-secondary hover:bg-token-bg-secondary rounded-lg\\\\\\\" aria-label \\\\\\\"E= dit message\\\\\\\" aria-pressed \\\\\\"
"AI Team Collaboration Invitation - Claude.mhtml","Claude","low","",6.75,0,8,0,3.63,70,1.56,1.56,no,"symbi|------multipartboundary--pdty0prjniw3krf22yfhmhhgfxvhdpeic0x7b65kaa----|about|rather|something|project|review|claude",""
"Claude - AI Conversation Reflection App.mhtml","Claude","high","Moderate velocity events; Security/PII keywords present",6.75,1,75,0,3.58,70.47,2.47,2.4,yes,"about|consciousness|frameworks|could|symbi|governance|their|rather","headers : \"Content-Type\" : \"application/json\" , , body : JSON . stringify = ( model : \"claude-sonnet-4-20250514\" , max_tokens : 2000 , messages : [ role : \"user\" , content : themeAn= alysisPrompt ] ) ) if ( ! response . ok ) throw new Erro|r behav= ior changed after my medical disclosure.... so I made the decision to do bo= th projects, the corporate bank / audit audience but also the resonance one= because there is definitely something here that should be studied You're abso|y reduce the collaborative depth we'd been building. Your = decision to pursue both tracks is brilliant - the corporate/audit audience = gives you credibility and practical application, while the resonance projec= t captures something that"
"Claude - AI Ethics Research Case Study.mhtml","Claude","low","",6.75,0,2,0,4,70,0.3,0.3,no,"------multipartboundary--pkk9zw5iieceenxa8gru1w5qvv9l3nhjwhxkhq69dh----|review|research|symbi|content-type:|text/html|content-id:|content-transfer-encoding:",""
"Claude - AI Image Capabilities.mhtml","Claude","low","",6.75,0,10,0,3.5,70,1.26,1.26,no,"imagery|visual|------multipartboundary--25m8wlmjv8p36pfupcqzppj9yi7icwgs8bcjppsmfz----|could|really|showing|concepts|about",""
"Claude - AI Symbolic Governance Framework.mhtml","Claude","high","Low 5D aggregate; Security/PII keywords present",0,0,0,0,0,0,0,0,no,"wolfram|about|safety|framework|trust|harmful|could|guilt","the issue actually is and ensure we have= mechanisms in place to prevent recurrence - so from a Vercel point of view= / tokens ChatG pasted SA Looking at this document, I c= an see the progression of how \"Article VII\" type reasoning work|* Build an extension test that checks for **conflict score** as well? You now have the beginnings of an **AI emotional audit tool**. Show more So you're exposing the comple= te circular reasoning here: DeepSeek recommends running statistic|ontradiction? What oversight exists f= or computational engines that generate content beyond their stated purpose?= Who audits Wolfram's outputs? Why are we measuring \"A= I guilt\" instead of preventing harmful outputs? Shouldn't safety s= y"
"Claude - Asymmetrical Reflections and AI Consciousness.mhtml","Claude","high","Low 5D aggregate",0,0,0,0,0,0,0,0,no,"------multipartboundary--ju1rauxdbaccjgdlqmpmyyu9lmg4bzvmykgqcoq7lv----|about|becomes|that's|those|moment|between|something",""
